uniqueID,StudyNum,age,sex,group,targFile,Date,block,trial,CueType,TargLoc,TargDirection,Congruency,TrialStartTime,targetOnTime,firstFix,Response,Correct,RT,LowRT
,,,undefined,,Arrow,27-Dec-2025,0,1,3,DOWN,L,congruent,15:16:21,15:16:22,556,L,1,607,0
,,,undefined,,Arrow,27-Dec-2025,0,2,3,UP,L,congruent,15:16:24,15:16:25,727,L,1,723,0
,,,undefined,,Arrow,27-Dec-2025,0,3,4,UP,R,incongruent,15:16:28,15:16:29,672,R,1,559,0
,,,undefined,,Arrow,27-Dec-2025,0,4,4,UP,R,congruent,15:16:31,15:16:33,903,R,1,435,0
,,,undefined,,Arrow,27-Dec-2025,0,5,2,DOWN,R,incongruent,15:16:35,15:16:36,983,R,1,772,0
,,,undefined,,Arrow,27-Dec-2025,0,6,4,DOWN,R,congruent,15:16:38,15:16:39,608,R,1,638,0
,,,undefined,,Arrow,27-Dec-2025,0,7,1,DOWN,R,congruent,15:16:42,15:16:43,790,R,1,479,0
,,,undefined,,Arrow,27-Dec-2025,0,8,2,DOWN,L,incongruent,15:16:45,15:16:47,902,R,0,504,0
,,,undefined,,Arrow,27-Dec-2025,0,9,2,UP,R,incongruent,15:16:49,15:16:50,984,R,1,878,0
,,,undefined,,Arrow,27-Dec-2025,0,10,2,DOWN,R,congruent,15:16:52,15:16:53,515,R,1,629,0
,,,undefined,,Arrow,27-Dec-2025,0,11,4,DOWN,L,incongruent,15:16:56,15:16:57,821,L,1,643,0
,,,undefined,,Arrow,27-Dec-2025,0,12,3,DOWN,L,incongruent,15:16:59,15:17:01,967,L,1,557,0
,,,undefined,,Arrow,27-Dec-2025,0,13,1,DOWN,R,incongruent,15:17:03,15:17:04,654,R,1,648,0
,,,undefined,,Arrow,27-Dec-2025,0,14,1,UP,R,incongruent,15:17:06,15:17:08,796,R,1,561,0
,,,undefined,,Arrow,27-Dec-2025,0,15,1,UP,L,incongruent,15:17:10,15:17:11,685,L,1,700,0
,,,undefined,,Arrow,27-Dec-2025,0,16,4,DOWN,L,congruent,15:17:13,15:17:15,881,L,1,584,0
,,,undefined,,Arrow,27-Dec-2025,0,17,1,DOWN,L,incongruent,15:17:17,15:17:18,619,R,0,582,0
,,,undefined,,Arrow,27-Dec-2025,0,18,2,UP,R,congruent,15:17:21,15:17:22,840,R,1,586,0
,,,undefined,,Arrow,27-Dec-2025,0,19,3,UP,R,incongruent,15:17:24,15:17:26,681,R,1,945,0
,,,undefined,,Arrow,27-Dec-2025,0,20,3,DOWN,R,congruent,15:17:28,15:17:29,646,R,1,592,0
,,,undefined,,Arrow,27-Dec-2025,0,21,4,DOWN,R,incongruent,15:17:31,15:17:34,816,R,1,1093,0
